,created_at,text,description
0,2022-04-23 11:04:33+00:00,"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",
1,2022-04-23 11:03:42+00:00,"I must weed out about 50 texts sounding like THIS per day. After 20 years, my responses are often sarcastic on steroids. Strangely, it relieves some of their annoyance. wHO ACTS LIKE THIS? 😂 #humor #drudge #sarcasm #sessions https://t.co/hfjOLTAqKF",There are millions of women in the world. And then there’s THE DAKINI.
2,2022-04-23 11:00:10+00:00,"Callon is back, #sarcasm intact. Check out the #Allegiance sample on #bookbuzzr #mustread #fantasy #dragon - https://t.co/FI18RHQ5W8","#IndieAuthor & #GeekGirl. Known for Dragonics & Runics Series. Tweets on #amwriting, #bookworm status, #editing, geeking out & over-caffeination."
3,2022-04-23 10:40:01+00:00,"Personality so inspiring that every girl I meet decides to focus on their career, rather than dating.

#sarcasm #danj #ambition #saturday #memes","Follow: @diary_pen_and_coffee on Instagram!🔥Thoughts | Quotes | Vlogs | Blogs | Wallpapers
Dm any of the above and get featured (unpaid)"
4,2022-04-23 10:35:19+00:00,"Why 50% valuation cut!? ☠🤷‍♂️

Nifty is just 8% down from ATH. Retail is strong enough to absorb FII selling.

#Sarcasm https://t.co/1WIGugL6GX",Anticipate before other traders anticipate. 😉
5,2022-04-23 10:34:05+00:00,BREAKUPS AND #SARCASM https://t.co/LGrjnIfWzQ #breakup #love https://t.co/qDRZwYTnPt,freelance graphic designer secretly waiting for Oprah or anyone with money to buy me out by noon so I can buy a one way ticket to Dubai by 3. #saveme #anybody?
6,2022-04-23 10:16:48+00:00,@AyoCaesar Pretty sure this wasn't an endorsement #sarcasm,"Author & freelance writer #IndieFilm #martialarts writing, #indiepublish & #politics Loves coffee, reading, film, running, Karate. #SaveChannel4 #GetVaccinated"
7,2022-04-23 09:58:19+00:00,Answer 👇 #nationwanttoknow #ANSWER #Mathematics #Quizzes #Memes #memecoin #Sarcasm #LOL #fun #educational https://t.co/tujXns0mRi,Follow my Meme page on Instagram love my many✌️
8,2022-04-23 09:49:50+00:00,@IshitaJoshi @IamNaveenKapoor He did #Sarcasm ??,
9,2022-04-23 09:46:07+00:00,Funny Quote - I'm Never Drinking Again https://t.co/muArTMYWYG via @zazzle #ZazzleMade #zazzle #Mugshots #mug #mugs #Coffee #CoffeeTime #sarcasm #sarcastic #quote #quoteoftheday #quotesdaily #sarcasticquotes #funnyquotes #giftideas #gift #gifts,
